gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV,TenureGroup,ChurnProbability,RevenueAtRisk,Segment
Female,0,Yes,Yes,10,Month-to-month,Credit card (automatic),55.2,528.35,1,552.0,0-12,0.36155139723458346,199.57637127349008,Safe
Female,0,No,No,21,Month-to-month,Electronic check,90.05,1862.9,0,1891.05,12-24,0.7599680336449717,1437.1375500243237,Critical
Male,1,No,No,1,Month-to-month,Electronic check,39.65,39.65,1,39.65,0-12,0.854326848975315,33.874059561871235,At Risk
Male,0,Yes,No,12,One year,Bank transfer (automatic),19.8,202.25,0,237.60000000000002,0-12,0.1433653930910159,34.06361739842538,Safe
Male,0,No,No,1,Month-to-month,Mailed check,20.15,20.15,1,20.15,0-12,0.41404217699461804,8.342949866441552,Safe
Female,0,Yes,No,58,Two year,Credit card (automatic),59.9,3505.1,0,3474.2,48-60,0.04959117000861529,172.28964284393123,Loyal
Male,0,Yes,Yes,49,Month-to-month,Credit card (automatic),59.6,2970.3,0,2920.4,48-60,0.08125521949525341,237.29774301393806,Loyal
Female,0,No,No,30,Month-to-month,Bank transfer (automatic),55.3,1530.6,0,1659.0,24-36,0.27878413346468073,462.5028774179053,Loyal
Male,0,Yes,Yes,47,Month-to-month,Electronic check,99.35,4749.15,1,4669.45,36-48,0.7075916293361579,3304.0637336037225,Critical
Male,0,Yes,Yes,1,Month-to-month,Electronic check,30.2,30.2,1,30.2,0-12,0.6584052272542464,19.88383786307824,At Risk
Male,0,Yes,No,72,Two year,Credit card (automatic),90.25,6369.45,0,6498.0,60-72,0.0496295248874547,322.49265271868063,Loyal
Female,0,No,Yes,17,Month-to-month,Mailed check,64.7,1093.1,1,1099.9,12-24,0.6586951435368433,724.498788376174,At Risk
Female,1,Yes,No,71,Two year,Credit card (automatic),96.35,6766.95,0,6840.849999999999,60-72,0.08621815359141598,589.805455995838,Loyal
Male,1,Yes,No,2,Month-to-month,Credit card (automatic),95.5,181.65,0,191.0,0-12,0.9072372461478272,173.282314014235,At Risk
Female,0,Yes,Yes,27,One year,Mailed check,66.15,1874.45,0,1786.0500000000002,24-36,0.09372035476662399,167.38923963092878,Loyal
Male,0,No,No,1,Month-to-month,Bank transfer (automatic),20.2,20.2,0,20.2,0-12,0.3570501121801961,7.212412266039961,Safe
Male,1,No,No,1,Month-to-month,Bank transfer (automatic),45.25,45.25,0,45.25,0-12,0.6241740339356766,28.243875035589365,At Risk
Female,0,Yes,Yes,72,Two year,Bank transfer (automatic),99.9,7251.7,0,7192.8,60-72,0.05063712381864654,364.22270420276084,Loyal
Male,0,No,No,5,Month-to-month,Electronic check,69.7,316.9,1,348.5,0-12,0.8236788734805621,287.0520874079759,At Risk
Female,0,No,No,46,Month-to-month,Credit card (automatic),74.8,3548.3,0,3440.7999999999997,36-48,0.534467158283741,1838.994598222696,Critical
Male,0,No,No,34,Month-to-month,Electronic check,106.35,3549.25,1,3615.8999999999996,24-36,0.8148394335161082,2946.3779076508954,Critical
Female,0,No,No,11,Month-to-month,Bank transfer (automatic),97.85,1105.4,1,1076.35,0-12,0.8699063439965352,936.3236933606706,At Risk
Male,0,Yes,Yes,10,One year,Mailed check,49.55,475.7,0,495.5,0-12,0.288450339574802,142.9271432593144,Safe
Female,0,Yes,Yes,70,Two year,Credit card (automatic),69.2,4872.35,0,4844.0,60-72,0.03536281074935012,171.29745526985198,Loyal
Female,0,Yes,Yes,17,One year,Mailed check,20.75,418.25,0,352.75,12-24,0.1213408394573761,42.80298111858942,Safe
Female,0,No,No,63,Two year,Credit card (automatic),79.85,4861.45,0,5030.549999999999,60-72,0.039969000808192115,201.0660570156508,Loyal
Female,0,Yes,No,13,Month-to-month,Electronic check,76.2,981.45,0,990.6,12-24,0.5161924709206254,511.3402616939715,At Risk
Female,0,No,No,49,Month-to-month,Electronic check,84.5,3906.7,0,4140.5,48-60,0.6793629420039903,2812.9022613675215,Critical
Male,0,No,No,2,Month-to-month,Mailed check,49.25,97.0,0,98.5,0-12,0.5855451137601217,57.67619370537199,At Risk
Female,0,No,No,2,Month-to-month,Electronic check,80.65,144.15,1,161.3,0-12,0.8703477675273996,140.38709490216957,At Risk
Male,0,No,No,52,Two year,Credit card (automatic),79.75,4217.8,0,4147.0,48-60,0.08966802091244713,371.85328272391826,Loyal
Female,0,Yes,Yes,69,Two year,Credit card (automatic),64.15,4254.1,0,4426.35,60-72,0.020002202060455443,88.53674709029696,Loyal
Female,1,No,No,43,Month-to-month,Electronic check,90.25,3838.75,0,3880.75,36-48,0.73355824163997,2846.7561462443136,Critical
Female,0,No,No,15,Month-to-month,Credit card (automatic),99.1,1426.4,1,1486.5,12-24,0.7483702813459748,1112.4524232207916,Critical
Female,1,Yes,No,25,Month-to-month,Credit card (automatic),69.5,1752.65,0,1737.5,24-36,0.4659289005886807,809.5514647728327,Loyal
Female,1,Yes,No,8,Month-to-month,Credit card (automatic),80.65,633.3,1,645.2,0-12,0.844476823090172,544.856446257779,At Risk
Female,1,Yes,Yes,60,One year,Credit card (automatic),74.85,4456.35,0,4491.0,48-60,0.06561743347387938,294.68789373119233,Loyal
Male,1,No,No,18,Month-to-month,Electronic check,95.45,1752.55,1,1718.1000000000001,12-24,0.9007893336951142,1547.6461542215757,Critical
Female,0,Yes,Yes,63,One year,Credit card (automatic),99.65,6311.2,0,6277.950000000001,60-72,0.3360992372618695,2110.014206568154,Loyal
Male,1,Yes,Yes,66,One year,Electronic check,108.45,7076.35,0,7157.7,60-72,0.3604109341570284,2579.713343415762,Loyal
Female,0,Yes,Yes,34,Two year,Credit card (automatic),24.95,894.3,0,848.3,24-36,0.03397883376190296,28.82424468022228,Safe
Female,0,No,No,72,Two year,Credit card (automatic),107.5,7853.7,0,7740.0,60-72,0.22352426167119524,1730.0777853350512,Loyal
Female,0,Yes,No,47,Month-to-month,Electronic check,100.5,4707.1,0,4723.5,36-48,0.7781400763586781,3675.544650680216,Critical
Male,0,No,No,60,Month-to-month,Bank transfer (automatic),89.9,5450.7,0,5394.0,48-60,0.5567269867763845,3002.985366671818,Critical
Male,0,Yes,No,72,Two year,Bank transfer (automatic),42.1,2962.0,0,3031.2000000000003,60-72,0.02058126758123899,62.38593829225164,Loyal
Female,0,Yes,Yes,18,One year,Credit card (automatic),54.4,957.1,0,979.1999999999999,12-24,0.21894814713179064,214.39402567144938,Safe
Female,0,No,No,9,Month-to-month,Electronic check,94.4,857.25,1,849.6,0-12,0.8631908633799158,733.3669575275765,At Risk
Female,0,No,No,3,Month-to-month,Electronic check,75.3,244.1,0,225.89999999999998,0-12,0.6815061782977085,153.95224567745234,At Risk
Male,0,Yes,No,47,One year,Electronic check,78.9,3650.35,0,3708.3,36-48,0.40746320557552146,1510.9958052357063,Loyal
Female,0,No,No,31,Two year,Mailed check,79.2,2497.2,0,2455.2000000000003,24-36,0.12184869503120926,299.162916040625,Loyal
Female,0,Yes,Yes,50,Two year,Bank transfer (automatic),20.15,930.9,0,1007.4999999999999,48-60,0.012262903695382608,12.354875473097977,Safe
Male,0,No,No,10,Month-to-month,Mailed check,79.85,887.35,0,798.5,0-12,0.7318830239448827,584.4085946199888,At Risk
Male,0,No,No,1,Month-to-month,Mailed check,49.05,49.05,0,49.05,0-12,0.538211353454585,26.399266886947395,At Risk
Female,0,Yes,Yes,52,One year,Electronic check,20.4,1090.65,0,1060.8,48-60,0.04077375901537163,43.25280356350622,Safe
Male,1,Yes,Yes,64,Two year,Bank transfer (automatic),111.6,7099.0,0,7142.4,60-72,0.1706316059478766,1218.7191823221137,Loyal
Male,0,Yes,Yes,62,Two year,Bank transfer (automatic),24.25,1424.6,0,1503.5,60-72,0.01460341222662024,21.95623028272353,Loyal
Female,0,No,Yes,3,Month-to-month,Bank transfer (automatic),64.5,177.4,0,193.5,0-12,0.4445888940380156,86.02795099635603,Safe
Female,1,No,No,56,One year,Electronic check,110.5,6139.5,0,6188.0,48-60,0.3819040594899493,2363.222320123806,Loyal
Female,0,No,No,46,One year,Credit card (automatic),55.65,2688.85,0,2559.9,36-48,0.16353532682278607,418.63408313365005,Loyal
Female,0,Yes,Yes,8,Month-to-month,Mailed check,54.65,482.25,0,437.2,0-12,0.3715615665657112,162.44671690252895,Safe
Male,1,No,No,30,Month-to-month,Electronic check,74.75,2111.3,0,2242.5,24-36,0.5073982737209954,1137.8406288193323,Critical
Female,0,Yes,Yes,45,One year,Credit card (automatic),25.9,1216.6,0,1165.5,36-48,0.06774075325381662,78.95184791732328,Safe
Female,0,No,Yes,1,Month-to-month,Electronic check,79.35,79.35,1,79.35,0-12,0.8383399420173324,66.52227439907533,At Risk
Female,0,Yes,Yes,11,Month-to-month,Electronic check,50.55,565.35,0,556.05,0-12,0.630172639746465,350.40749633102183,At Risk
Female,0,Yes,No,7,Month-to-month,Bank transfer (automatic),75.15,496.9,1,526.0500000000001,0-12,0.7855019453739058,413.21329836394324,At Risk
Female,0,No,No,42,Month-to-month,Bank transfer (automatic),103.8,4327.5,0,4359.599999999999,36-48,0.5847107363256171,2549.10492608516,Critical
Female,0,Yes,No,49,Two year,Bank transfer (automatic),20.15,973.35,0,987.3499999999999,48-60,0.023455240175521194,23.158531387300847,Safe
Male,0,No,No,9,Month-to-month,Credit card (automatic),99.3,918.75,0,893.6999999999999,0-12,0.8807038005706891,787.0849865700247,At Risk
Female,0,Yes,No,35,One year,Bank transfer (automatic),62.15,2215.45,0,2175.25,24-36,0.21393275172070764,465.35721818046926,Loyal
Female,0,Yes,Yes,48,Two year,Bank transfer (automatic),20.65,1057.0,0,991.1999999999999,36-48,0.013795724217409903,13.674321844296696,Safe
Female,0,Yes,Yes,46,Two year,Mailed check,19.95,927.1,0,917.6999999999999,36-48,0.026255039471691544,24.094249723171327,Safe
Male,0,Yes,No,29,Month-to-month,Mailed check,33.75,1009.25,0,978.75,24-36,0.5675012740970823,555.4418720225193,At Risk
Male,0,Yes,Yes,30,Month-to-month,Bank transfer (automatic),82.05,2570.2,0,2461.5,24-36,0.48991954270354626,1205.936954364779,Loyal
Male,1,No,No,1,Month-to-month,Electronic check,74.7,74.7,0,74.7,0-12,0.748620978214765,55.92198707264295,At Risk
Male,0,Yes,Yes,66,Two year,Mailed check,84.0,5714.25,0,5544.0,60-72,0.05763205065586857,319.5120888361354,Loyal
Female,0,No,No,65,Month-to-month,Credit card (automatic),111.05,7107.0,0,7218.25,60-72,0.5496268988405177,3967.3443625555674,Critical
Male,0,No,No,72,Two year,Bank transfer (automatic),100.9,7459.05,0,7264.8,60-72,0.2003178268107914,1455.2689482150374,Loyal
Female,0,No,No,12,Month-to-month,Electronic check,78.95,927.35,1,947.4000000000001,0-12,0.7504414802122528,710.9682583530883,At Risk
Male,0,Yes,Yes,71,One year,Credit card (automatic),66.85,4748.7,0,4746.349999999999,60-72,0.041720259910701,198.0189556271557,Loyal
Male,0,No,No,5,Month-to-month,Mailed check,21.05,113.85,1,105.25,0-12,0.38215360283882305,40.22166669878612,Safe
Male,0,No,No,52,Two year,Bank transfer (automatic),21.0,1107.2,0,1092.0,48-60,0.014948981171583683,16.32428743936938,Safe
Female,1,Yes,No,25,Month-to-month,Electronic check,98.5,2514.5,1,2462.5,24-36,0.8177821480784083,2013.7885396430804,Critical
Male,0,No,No,1,Month-to-month,Mailed check,20.2,20.2,0,20.2,0-12,0.4144587193967287,8.372066131813918,Safe
Female,0,Yes,Yes,1,Month-to-month,Electronic check,19.45,19.45,0,19.45,0-12,0.33431898972816887,6.5025043502128845,Safe
Male,0,No,No,38,One year,Bank transfer (automatic),95.0,3605.6,0,3610.0,36-48,0.37235582260272504,1344.2045195958374,Loyal
Female,1,Yes,No,66,One year,Bank transfer (automatic),45.55,3027.25,0,3006.2999999999997,60-72,0.1160317514638571,348.82625442579354,Loyal
Male,0,Yes,No,68,Two year,Bank transfer (automatic),110.0,7611.85,1,7480.0,60-72,0.2014445463877627,1506.805206980465,Loyal
Male,0,No,No,5,Month-to-month,Mailed check,24.3,100.2,0,121.5,0-12,0.7135996049911739,86.70235200642763,At Risk
Female,0,Yes,Yes,72,One year,Electronic check,104.15,7303.05,0,7498.8,60-72,0.2732550985725221,2049.085333175629,Loyal
Female,0,No,No,32,One year,Mailed check,30.15,927.65,0,964.8,24-36,0.20458694788409307,197.38548731857298,Safe
Male,0,No,No,43,One year,Mailed check,94.35,3921.3,0,4057.0499999999997,36-48,0.5617730372009098,2279.141300575951,Critical
Male,0,Yes,Yes,72,Two year,Credit card (automatic),19.4,1363.25,0,1396.8,60-72,0.005367811494223899,7.497759095131942,Loyal
Male,0,Yes,No,55,Month-to-month,Electronic check,96.75,5238.9,1,5321.25,48-60,0.5600127899791535,2979.9680586765703,Critical
Female,0,No,No,52,One year,Credit card (automatic),57.95,3042.25,0,3013.4,48-60,0.04435732501641777,133.66636320447333,Loyal
Female,0,No,No,43,Month-to-month,Electronic check,91.65,3954.1,0,3940.9500000000003,36-48,0.6449732483554937,2541.807323106583,Critical
Female,1,Yes,No,37,Month-to-month,Electronic check,76.5,2868.15,1,2830.5,36-48,0.7460829109858738,2111.787679545516,Critical
Female,0,Yes,Yes,64,Two year,Electronic check,54.6,3423.5,0,3494.4,60-72,0.06878307647679582,240.35558244051532,Loyal
Male,0,Yes,Yes,3,Month-to-month,Electronic check,89.85,248.4,0,269.54999999999995,0-12,0.6669631388195949,179.77991406882177,At Risk
Female,0,No,No,36,Two year,Bank transfer (automatic),31.05,1126.35,0,1117.8,24-36,0.07730857103242154,86.4155207000408,Safe
Female,0,Yes,Yes,10,Month-to-month,Electronic check,100.25,1064.65,1,1002.5,0-12,0.8282389113343572,830.3095086126931,At Risk
Female,0,No,No,41,Two year,Mailed check,20.65,835.15,0,846.65,36-48,0.028259263399351735,23.925705357061148,Safe
Male,0,Yes,Yes,27,Month-to-month,Credit card (automatic),85.2,2151.6,0,2300.4,24-36,0.5858075663482811,1347.591725627586,Critical
Female,0,Yes,Yes,56,One year,Credit card (automatic),99.8,5515.45,0,5588.8,48-60,0.4737694135977311,2647.8024987149997,Loyal
Female,0,No,No,6,Month-to-month,Mailed check,20.7,112.75,0,124.19999999999999,0-12,0.36250146860947374,45.022682401296635,Safe
Male,0,No,No,3,Month-to-month,Electronic check,74.4,229.55,1,223.20000000000002,0-12,0.8655782997686554,193.1970765083639,At Risk
Female,0,Yes,Yes,7,Month-to-month,Mailed check,50.7,350.35,0,354.90000000000003,0-12,0.4252915216165223,150.93596102170378,Safe
Female,0,Yes,Yes,4,Month-to-month,Mailed check,20.85,62.9,0,83.4,0-12,0.3349847753210992,27.937730261779677,Safe
Male,0,No,No,33,Two year,Electronic check,88.95,3027.65,0,2935.35,24-36,0.20702876335957635,607.7018805275324,Loyal
Female,1,No,No,27,Month-to-month,Electronic check,78.05,2135.5,1,2107.35,24-36,0.7661369548054878,1614.5187117093446,Critical
Male,0,Yes,No,72,Two year,Bank transfer (automatic),23.55,1723.95,0,1695.6000000000001,60-72,0.012184637134615338,20.660270725453767,Loyal
Male,0,No,No,1,Month-to-month,Mailed check,19.75,19.75,0,19.75,0-12,0.41071430947480464,8.111607612127392,Safe
Male,1,No,No,71,One year,Electronic check,56.45,3985.35,0,4007.9500000000003,60-72,0.16160963388354183,647.7233321235415,Loyal
Female,0,No,No,13,Month-to-month,Electronic check,85.95,1215.65,0,1117.3500000000001,12-24,0.8681245338648698,969.9989479139124,At Risk
Female,0,Yes,Yes,25,Month-to-month,Credit card (automatic),58.6,1502.65,1,1465.0,24-36,0.5205815615692035,762.6519876988832,Critical
Male,0,No,No,67,Two year,Bank transfer (automatic),50.55,3260.1,0,3386.85,60-72,0.019372441783633405,65.6115544548988,Loyal
Male,0,No,No,1,Month-to-month,Electronic check,35.45,35.45,1,35.45,0-12,0.8421243225636742,29.85330723488225,At Risk
Male,0,No,No,2,Month-to-month,Electronic check,44.35,81.25,1,88.7,0-12,0.6058493269656415,53.738835301852404,At Risk
Female,0,No,No,43,Two year,Credit card (automatic),25.7,1188.2,0,1105.1,36-48,0.043060849834521756,47.586545152129986,Safe
Female,0,No,No,23,Month-to-month,Bank transfer (automatic),75.0,1778.5,0,1725.0,12-24,0.5922458775558349,1021.6241387838152,Critical
Female,0,Yes,Yes,64,Two year,Mailed check,20.2,1277.75,0,1292.8,60-72,0.008861309226531423,11.455900568059823,Safe
Male,0,No,Yes,57,Two year,Mailed check,19.6,1170.55,0,1117.2,48-60,0.016481316171312366,18.412926426590175,Safe
Female,1,Yes,No,1,Month-to-month,Mailed check,70.45,70.45,1,70.45,0-12,0.8763399116604464,61.73814677647845,At Risk
Female,1,Yes,Yes,72,Two year,Credit card (automatic),88.05,6425.65,0,6339.599999999999,60-72,0.041559427087764694,263.470143965593,Loyal
Female,0,No,No,8,Month-to-month,Electronic check,71.15,563.65,1,569.2,0-12,0.49531097184711215,281.93100517537624,Safe
Female,0,Yes,No,61,Two year,Bank transfer (automatic),101.05,5971.25,0,6164.05,60-72,0.28818637928145446,1776.3952512098494,Loyal
Male,0,No,No,64,One year,Credit card (automatic),84.3,5289.05,0,5395.2,60-72,0.2016604616688616,1087.998522795842,Loyal
Male,1,Yes,No,71,Two year,Bank transfer (automatic),23.95,1756.2,0,1700.45,60-72,0.01067828933553433,18.15789710060935,Loyal
Female,0,Yes,Yes,65,Two year,Credit card (automatic),99.05,6416.7,0,6438.25,60-72,0.08717356323333025,561.2451934869885,Loyal
Male,0,No,No,3,One year,Mailed check,19.6,61.35,0,58.800000000000004,0-12,0.229403928927186,13.488951020918538,Safe
Male,0,No,No,1,Month-to-month,Electronic check,45.65,45.65,1,45.65,0-12,0.7066134846737927,32.25690557535864,At Risk
Male,0,No,Yes,30,One year,Credit card (automatic),64.5,1929.95,0,1935.0,24-36,0.17899652494087154,346.3582757605864,Loyal
Male,0,Yes,Yes,15,Month-to-month,Mailed check,69.5,1071.4,0,1042.5,12-24,0.48566298525935225,506.3036621328747,Safe
Female,0,Yes,Yes,8,Month-to-month,Electronic check,68.55,564.35,0,548.4,0-12,0.6206826537012221,340.38236728975016,At Risk
Male,0,No,No,7,Month-to-month,Mailed check,95.0,655.5,1,665.0,0-12,0.8834137859076525,587.4701676285889,At Risk
Female,0,Yes,Yes,70,One year,Credit card (automatic),108.15,7930.55,0,7570.5,60-72,0.2728272273654685,2065.4385247702794,Loyal
Male,0,Yes,Yes,62,Two year,Electronic check,86.1,5215.25,0,5338.2,60-72,0.029759110718051644,158.8600848351033,Loyal
Female,0,Yes,Yes,6,Month-to-month,Mailed check,19.7,113.5,0,118.19999999999999,0-12,0.3084856472020609,36.463003499283595,Safe
Female,0,Yes,Yes,14,Month-to-month,Bank transfer (automatic),80.9,1152.8,0,1132.6000000000001,12-24,0.7688272539641826,870.7737478398333,At Risk
Female,0,No,No,22,Month-to-month,Bank transfer (automatic),84.15,1821.95,0,1851.3000000000002,12-24,0.7972969675134085,1476.0358759575734,Critical
Male,0,Yes,Yes,22,One year,Mailed check,20.15,419.9,0,443.29999999999995,12-24,0.10064275148678796,44.6149317340931,Safe
Male,0,Yes,Yes,16,Two year,Mailed check,64.25,1024.0,0,1028.0,12-24,0.12807451808413348,131.6606045904892,Safe
Male,0,No,No,10,Two year,Bank transfer (automatic),25.7,251.6,0,257.0,0-12,0.09988733472130654,25.67104502337578,Safe
Female,0,No,Yes,13,Month-to-month,Electronic check,56.0,764.55,0,728.0,12-24,0.4008858552295747,291.8449026071304,Safe
Female,0,Yes,No,20,Month-to-month,Electronic check,82.4,1592.35,1,1648.0,12-24,0.6586719781465239,1085.4914199854713,Critical
Female,0,No,No,2,Month-to-month,Electronic check,69.7,135.2,0,139.4,0-12,0.8336307448962671,116.20812583853964,At Risk
Male,0,No,No,53,Two year,Bank transfer (automatic),73.9,3958.25,0,3916.7000000000003,48-60,0.07279684030425786,285.1233844196868,Loyal
Female,0,Yes,Yes,11,One year,Mailed check,20.6,233.9,0,226.60000000000002,0-12,0.14886232801740287,33.7322035287435,Safe
Male,0,Yes,No,69,Two year,Mailed check,19.9,1363.45,0,1373.1,60-72,0.00933772955366306,12.821636450134745,Safe
Female,0,No,No,4,Month-to-month,Bank transfer (automatic),70.9,273.0,1,283.6,0-12,0.806474893605437,228.71627982650196,At Risk
Male,0,Yes,No,72,Two year,Bank transfer (automatic),89.05,6254.45,0,6411.599999999999,60-72,0.04336874813785931,278.06306556069876,Loyal
Male,1,Yes,No,58,Month-to-month,Electronic check,45.3,2651.2,1,2627.3999999999996,48-60,0.3971001705855178,1043.3409881963892,Loyal
Female,0,Yes,Yes,16,Month-to-month,Electronic check,20.4,321.4,0,326.4,12-24,0.2180626491596367,71.17564868570541,Safe
Male,0,Yes,No,43,One year,Bank transfer (automatic),84.25,3539.25,0,3622.75,36-48,0.20744809593483343,751.5325895479178,Loyal
Female,0,Yes,No,2,Month-to-month,Electronic check,104.4,242.8,1,208.8,0-12,0.8815689740862794,184.07160178921515,At Risk
Male,0,Yes,No,14,Two year,Mailed check,81.95,1181.75,0,1147.3,12-24,0.21450757638537132,246.10454238693652,Safe
Female,0,Yes,No,53,One year,Bank transfer (automatic),94.85,5000.2,1,5027.049999999999,48-60,0.45833720543008516,2304.0840485573094,Loyal
Female,0,No,No,32,One year,Bank transfer (automatic),20.55,654.55,0,657.6,24-36,0.06605732928914114,43.43929974053921,Safe
Female,0,Yes,No,34,Month-to-month,Electronic check,24.7,780.2,0,839.8,24-36,0.1798782170272652,151.0617266594973,Safe
Female,1,No,No,15,Month-to-month,Mailed check,74.45,1145.7,1,1116.75,12-24,0.847856806657305,946.8440888345453,At Risk
Female,1,No,No,7,Month-to-month,Bank transfer (automatic),76.45,503.6,1,535.15,0-12,0.671209862525923,359.19795793074763,At Risk
Female,0,Yes,Yes,15,Month-to-month,Bank transfer (automatic),105.35,1559.25,0,1580.25,12-24,0.8210573783633798,1297.4759221587308,Critical
Male,0,Yes,No,61,One year,Credit card (automatic),20.55,1252.0,0,1253.55,60-72,0.034419803667514556,43.14694488741287,Safe
Female,0,No,No,1,Month-to-month,Bank transfer (automatic),29.95,29.95,1,29.95,0-12,0.6605005941745632,19.78199279552817,At Risk
Female,0,No,No,1,Month-to-month,Mailed check,45.3,45.3,0,45.3,0-12,0.6347146980925378,28.75257582359196,At Risk
Male,0,No,No,8,Month-to-month,Bank transfer (automatic),84.5,662.65,1,676.0,0-12,0.8122555033479564,549.0847202632185,At Risk
Male,0,Yes,Yes,33,One year,Credit card (automatic),74.75,2453.3,0,2466.75,24-36,0.1786704060488497,440.735224121,Loyal
Female,0,No,No,13,Month-to-month,Electronic check,79.25,1111.65,1,1030.25,12-24,0.743544767173509,766.0369963805077,At Risk
Female,0,Yes,No,1,Month-to-month,Electronic check,24.8,24.8,1,24.8,0-12,0.8004859172398924,19.85205074754933,At Risk
Male,0,No,No,20,Month-to-month,Mailed check,51.8,1023.85,0,1036.0,12-24,0.540781761658297,560.2499050779958,At Risk
Male,0,No,No,3,Month-to-month,Electronic check,30.4,82.15,0,91.19999999999999,0-12,0.638715427270631,58.25084696708154,At Risk
Female,0,No,No,13,One year,Electronic check,19.65,244.8,0,255.45,12-24,0.14986659979273328,38.28342291705371,Safe
Female,0,Yes,No,40,Month-to-month,Credit card (automatic),56.6,2379.1,0,2264.0,36-48,0.31881325664119475,721.793213035665,Loyal
Male,0,Yes,Yes,43,One year,Credit card (automatic),71.9,3173.35,0,3091.7000000000003,36-48,0.1492131194813006,461.3222015003371,Loyal
Male,0,Yes,No,6,Month-to-month,Electronic check,91.0,531.0,1,546.0,0-12,0.8419221528550247,459.6894954588435,At Risk
Female,0,Yes,Yes,69,Two year,Bank transfer (automatic),19.75,1375.4,0,1362.75,60-72,0.005567604209650017,7.587252636700561,Safe
Female,0,Yes,Yes,72,Two year,Credit card (automatic),109.7,8129.3,0,7898.400000000001,60-72,0.10927654763775474,863.1098838620421,Loyal
Male,0,Yes,Yes,59,Two year,Credit card (automatic),19.3,1192.7,0,1138.7,48-60,0.009219044839504961,10.4977263587443,Safe
Female,0,Yes,No,20,Month-to-month,Electronic check,96.55,1901.65,0,1931.0,12-24,0.6221493556565524,1201.3704057728025,Critical
Male,0,Yes,Yes,24,Two year,Bank transfer (automatic),24.1,587.4,0,578.4000000000001,12-24,0.0650756838334359,37.63977552925933,Safe
Male,0,No,No,59,Month-to-month,Electronic check,111.35,6519.75,0,6569.65,48-60,0.630152675949564,4139.882527552053,Critical
Male,0,Yes,Yes,72,Two year,Bank transfer (automatic),112.25,8041.65,0,8082.0,60-72,0.1639666559419122,1325.1785133225344,Loyal
Male,0,No,Yes,1,Month-to-month,Mailed check,20.75,20.75,0,20.75,0-12,0.3608365053910077,7.487357486863409,Safe
Female,0,Yes,No,27,One year,Credit card (automatic),101.9,2681.15,0,2751.3,24-36,0.4841702419527824,1332.0975866846904,Loyal
Female,0,No,No,14,Month-to-month,Credit card (automatic),80.05,1112.3,0,1120.7,12-24,0.6541201274920574,733.0724268803488,At Risk
Male,0,Yes,Yes,71,Two year,Electronic check,105.55,7405.5,0,7494.05,60-72,0.13456423375715898,1008.4310959878372,Loyal
